arm,batch,input_tokens,output_tokens,ttft_ms_median,ttft_ms_p95,decode_ms_median,decode_ms_p95,e2e_ms_median,e2e_ms_p95,decode_tokens_s_median,decode_tokens_s_p95,tpot_ms_median,tpot_ms_p95,gpu_prefill_ms_median,gpu_prefill_ms_p95,gpu_decode_ms_median,gpu_decode_ms_p95,baseline_allocated_bytes_median,baseline_allocated_bytes_p95,baseline_reserved_bytes_median,baseline_reserved_bytes_p95,peak_allocated_bytes_median,peak_allocated_bytes_p95,peak_reserved_bytes_median,peak_reserved_bytes_p95,kv_bytes_median,kv_bytes_p95,kv_length_median,kv_length_p95
I01,8,512,128,24.566612999933568,24.81632199987871,3362.6249814999483,3375.2944879997813,3387.0818959996996,3400.11080999966,302.144944515118,304.3861258802818,26.477362059054713,26.577121952754183,24.54091167449951,24.79100799560547,3362.603271484375,3375.27099609375,159589888.0,159589888,469762048.0,469762048,266627584.0,266627584,469762048.0,469762048,0.0,0,0.0,0
I02,8,512,128,22.619056999928944,22.729898000307003,870.0949805001983,879.0069019996736,892.7161070000693,901.677486999688,1167.6888430167598,1174.7938081344225,6.851141578741719,6.921314188973808,22.59121608734131,22.647552490234375,870.0895690917969,878.9998779296875,159589888.0,159589888,534773760.0,534773760,418880000.0,418880000,534773760.0,534773760,125632512.0,125632512,639.0,639
I03,8,512,128,22.79475649993401,22.974522999902547,3115.634932000148,3123.709543000132,3138.4364545001517,3146.4330520002477,326.09725887391073,327.0122661576875,24.532558519686205,24.596138133859306,22.769776344299316,22.949216842651367,3115.610107421875,3123.6845703125,150414848.0,150414848,446693376.0,446693376,257452544.0,257452544,446693376.0,446693376,0.0,0,0.0,0
I04,8,512,128,20.65985100011858,20.697011000265775,911.8118019998747,919.1879939999126,932.4477320001279,939.7802230000707,1114.2650376849608,1121.890124439742,7.1796204881879895,7.237700740156792,20.62617588043213,20.66441535949707,911.8104858398438,919.1805419921875,150414848.0,150414848,335544320.0,335544320,303131136.0,303131136,335544320.0,335544320,62816256.0,62816256,639.0,639
I02,4,128,128,5.7291555001484085,5.8661019997998665,869.1484005000802,873.3699240001442,874.872725500154,879.1782289999901,584.4801802710587,588.506688651931,6.843688192914017,6.876928535434207,5.701375961303711,5.807712078094482,869.1412353515625,873.3624267578125,159557120.0,159557120,270532608.0,270532608,213662208.0,213662208,270532608.0,270532608,25067520.0,25067520,255.0,255
I03,4,128,128,6.143433499801176,6.31826499966337,740.7658404999893,745.8160500000304,746.8910439999945,751.9156430003022,685.7767635293069,688.957038011525,5.832801893700703,5.872567322834885,6.1177918910980225,6.295167922973633,740.7600402832031,745.8097534179688,150382080.0,150382080,211812352.0,211812352,172341760.0,172341760,211812352.0,211812352,0.0,0,0.0,0
I04,4,128,128,6.169871500105728,6.7436899998938316,902.7084600002127,912.7377410000008,908.8853410000866,919.4814309998947,562.7509019548588,564.5327348549821,7.107940629922934,7.186911346456699,6.146399974822998,6.37721586227417,902.70068359375,912.7294921875,150382080.0,150382080,216006656.0,216006656,180761088.0,180761088,216006656.0,216006656,12533760.0,12533760,255.0,255
I01,4,128,128,5.776502499884373,6.6467999999986205,707.2112490000109,711.5064479999091,712.8629690000707,717.4666490000163,718.3144416991195,722.5307090945797,5.56859251181111,5.602412976377237,5.75105619430542,6.623904228210449,707.2056579589844,711.501220703125,159557120.0,159557120,222298112.0,222298112,181784064.0,181784064,222298112.0,222298112,0.0,0,0.0,0
I03,1,1024,128,6.436178500052847,6.889404000048671,855.6730344998869,857.8548630002842,862.0970364997902,864.2793700000766,148.42117878584168,148.9524522954708,6.737582948818007,6.75476270078964,6.4132161140441895,6.8621439933776855,855.6658935546875,857.8475952148438,150383104.0,150383104,205520896.0,205520896,174406656.0,174406656,205520896.0,205520896,0.0,0,0.0,0
I04,1,1024,128,6.157687999802874,6.3264300001719675,864.8193665001145,871.1437910001223,871.0487379998995,877.2208300001694,146.85147695841067,147.28279451034385,6.809601311024524,6.859399929134821,6.1335999965667725,6.21065616607666,864.8119506835938,871.1356811523438,150383104.0,150383104,236978176.0,236978176,182626816.0,182626816,236978176.0,236978176,14143488.0,14143488,1151.0,1151
I01,1,1024,128,6.695890499941015,6.7429639998408675,906.9927614998505,908.4839840002132,913.7231789998168,915.2545040001314,140.02316827053818,140.5096223595053,7.141675287400398,7.153417196852073,6.6728479862213135,6.719327926635742,906.9849853515625,908.4765625,159558144.0,159558144,211812352.0,211812352,185103872.0,185103872,211812352.0,211812352,0.0,0,0.0,0
I02,1,1024,128,5.938085500019952,5.975949000003311,820.3979575000631,832.1870999998282,826.3432194999041,838.1145339999421,154.80292083233138,155.422321449821,6.4598264370083704,6.552654330707309,5.913055896759033,5.948544025421143,820.3907775878906,832.1792602539062,159558144.0,159558144,253755392.0,253755392,216952832.0,216952832,253755392.0,253755392,28286976.0,28286976,1151.0,1151
I04,8,1024,128,39.798284500193404,40.05642900028761,908.8681514999735,912.6154330001555,948.5583665000377,952.0226960003129,1117.8741253970788,1122.0300525746231,7.156442137795066,7.185948291339807,39.748064041137695,40.011295318603516,908.8618774414062,912.6076049804688,150447616.0,150447616,511705088.0,511705088,420145664.0,420145664,511705088.0,511705088,113147904.0,113147904,1151.0,1151
I01,8,1024,128,45.32002200016905,45.579234000342694,6119.641537999996,6151.934414999687,6165.036063499883,6197.198904999823,166.02280174573428,166.40438627496872,48.18615384251966,48.44042846456446,45.290334701538086,45.54665756225586,6119.5927734375,6151.88525390625,159622656.0,159622656,824180736.0,824180736,350724608.0,350724608,824180736.0,824180736,0.0,0,0.0,0
I02,8,1024,128,42.98239000013382,43.296987999838166,885.1158749998831,889.8977170001672,928.0268635000084,933.069037000223,1147.872310823679,1150.3152746965866,6.969416338581757,7.007068637796592,42.9572639465332,43.1901741027832,885.1101684570312,889.8899536132812,159622656.0,159622656,796917760.0,796917760,635976192.0,635976192,796917760.0,796917760,226295808.0,226295808,1151.0,1151
I03,8,1024,128,41.94947299993146,42.21645300003729,5662.878608000028,5664.942249999967,5704.546051000079,5707.018880000305,179.414052625349,179.48446594875392,44.589595338582896,44.605844488188716,41.925872802734375,42.191551208496094,5662.832763671875,5664.89453125,150447616.0,150447616,788529152.0,788529152,341549568.0,341549568,788529152.0,788529152,0.0,0,0.0,0
I01,4,1024,128,25.26581050005916,25.40207099991676,3313.8995570000134,3315.6957450000846,3339.1471739998906,3341.028692999771,153.29372278916395,153.34219833358034,26.093697299212703,26.10784051181169,25.237696647644043,25.37868881225586,3313.87255859375,3315.66845703125,159585792.0,159585792,394264576.0,394264576,257161728.0,257161728,394264576.0,394264576,0.0,0,0.0,0
